AppName;Path;codetrans;Migrate;MotherApp
Liste des personnes sans photo;E:/inetpub/wwwroot/web/intranet/appli/Passeport_GCMV1;pafc,parh;0;
Listes de diffusions Lotus Notes;E:/inetpub/wwwroot/web/intranet/appli/LotusNotes_Groupes;;0;
Localiser une personne;E:/inetpub/wwwroot/web/intranet/appli/localiserPersonne;;0;
Mallettes de Secours;E:/inetpub/wwwroot/web/intranet/appli/Rh_Applis/mallettesecours;Mse1,Msec;0;Rh_Applis
Meta-Dictionnaire DataWareHouse;E:/inetpub/wwwroot/web/intranet/appli/DataWareHouse;DWMD;0;
Mise à jour Agrégat EGC;E:/inetpub/wwwroot/web/intranet/appli/DWH;mdwh;0;
Mise à jour de l'AOG;E:/inetpub/wwwroot/web/intranet/appli/AOG;;0;
Notes de Frais & Sessions LMS;E:/inetpub/wwwroot/web/intranet/appli/NDF;Dnfa,Dnfd,Dnff;0;
Oasis Extensions;E:/inetpub/wwwroot/web/intranet/appli/Oasis_Extensions;;0;Oasis
Oasis Pilotage Actions;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/actions;Oagd;0;Oasis
Oasis Pilotage Auto GSP;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/autogsp;Oaag;0;Oasis
Oasis Pilotage Auto-Presto;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/autopresto;Oaap;0;Oasis
Oasis Pilotage DAB;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/dab;Oadb;0;Oasis
Oasis Pilotage Demandes GRC;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/demandes;Oacd;0;Oasis
Oasis Pilotage Evénements;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/evenements;Oasy;0;Oasis
Oasis Pilotage Experts Auto TMA;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/autotma-experts;Oaxp;0;Oasis
Oasis Pilotage IRSA5;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/irsa5-courriers;;0;Oasis
Oasis Pilotage Prestataires;E:/inetpub/wwwroot/web/intranet/appli/OASIS_Pilotage_Prestataires;;0;Oasis
Oasis Pilotage Qualité IDA;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/ida-qualite;Oaqi;0;Oasis
Oasis Pilotage Qualité IRCA;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/irca-qualite;Oaqr;0;Oasis
Oasis Pilotage Recours DC;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/recours-dc;Oarc;0;Oasis
Oasis Pilotage Requêtes IDA;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/ida-requetes;Oari;0;Oasis
Oasis Pilotage SMS;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/courriers-sms;Oass;0;Oasis
Oasis Productivité;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/productivite;Oase;0;Oasis
Oasis Statistiques Auto GSP;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/autogsp-stats;Oabt;0;Oasis
Oasis Statistiques Auto-Presto;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/autopresto-stats;Oaat;0;Oasis
Oasis Statistiques BDG GSP;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/autogsp-bdg-stats;Oarg;0;Oasis
Oasis Statistiques Presto Glace;E:/inetpub/wwwroot/web/intranet/appli/oasis_pilotage/prestoglace;Oapg;0;Oasis
Omnicanalité Flux Agences;E:/inetpub/wwwroot/web/intranet/appli/Omnicanalite;;0;
OSCAR - Surveillance du Portefeuille;E:/inetpub/wwwroot/web/intranet/appli/SurveillancePortefeuille;spf1,spf2;0;
OTC - Solvabilité 2;E:/inetpub/wwwroot/web/intranet/appli/OutilTracageControle;Otcu,Otca,Otcc;0;
Outil Aide à la Conformité;E:/inetpub/wwwroot/web/intranet/appli/outilvie;Ov00,Ov02;0;
Outil de Synthèse RDS Solvabilité 2;E:/inetpub/wwwroot/web/intranet/appli/SyntheseRDS;osyr;0;
Paramétrage des tables produits SIGMA;E:/inetpub/wwwroot/web/intranet/appli/Parametrage_ET;Geta,Pett,Peta;0;
Paramétrage Tableaux de bord GRC;E:/inetpub/wwwroot/web/intranet/appli/GRC_suivi_SRC;Acpa;0;
Passeport;E:/inetpub/wwwroot/web/intranet/appli/Passeport_V2;Ppv2,Pcpt;0;
Pilotage Associations Evénements Terrain;E:/inetpub/wwwroot/web/intranet/appli/AssoEvtTerrains;PILOT_ASSO_EVT_TERRAIN;0;
Pilotage Coûts Auto GSP;E:/inetpub/wwwroot/web/intranet/appli/AutoCoutsGSP;;0;
Pilotage Coûts AutoPresto;E:/inetpub/wwwroot/web/intranet/appli/AutoPresto;;0;
Pilotage GED;E:/inetpub/wwwroot/web/intranet/appli/PilotageGed;Pged;0;
Pilotage IDA - Tableaux de bord;E:/inetpub/wwwroot/web/intranet/appli/IDA;;0;
Plan d'actions;E:/inetpub/wwwroot/web/intranet/appli/PA_GCM;Pa0;0;
Planificateur des variantes Sigma;E:/inetpub/wwwroot/web/intranet/appli/PlanifVariantesSIGMA;Apvs;0;
Plans des batiments;E:/inetpub/wwwroot/web/intranet/appli/PlansMRA;Plmr,Plms;0;
Portail et Authentification ASR;E:/inetpub/wwwroot/web/intranet/asr;link,ifit,grpu,rsgr,puba,gpla,usrw;0;
Portail Pilotage;E:/inetpub/wwwroot/web/intranet/appli/Portail_Pilotage;;0;
Porte-Adresse et Gestion ELR Maileva;E:/inetpub/wwwroot/web/intranet/appli/PorteAdresse;Padm;0;
Propositions de Mises en Demeure;E:/inetpub/wwwroot/web/intranet/appli/PropoMED;cmda,cmdp,cmdc,cmdd,cmdr;0;
Préparation du fichier Romactis;E:/inetpub/wwwroot/web/intranet/appli/Romactis;;0;
QACheck;E:/inetpub/wwwroot/web/intranet/appli/VerifBo;Qaka,Qakb,Qakc,Qakn,Qaks,Qakr;0;
QuoiKonFait;E:/inetpub/wwwroot/web/intranet/appli/quoikonfait;;0;
Relevé d'Informations Automobiles;E:/inetpub/wwwroot/web/intranet/appli/Releve_Informations_Auto;Rinf;0;
Requêtes Portefeuille Vie;E:/inetpub/wwwroot/web/intranet/appli/Req_portefeuille_Vie;Trqv,Tpav;0;
Requêtes WebFocus;E:/inetpub/wwwroot/web/intranet/appli/LanceurFex;;0;
RGPD - Traitement des purges et anonymisations ASR;E:/inetpub/wwwroot/web/intranet/appli/RGPD;;0;
Réaffectations commerciales;E:/inetpub/wwwroot/web/intranet/appli/icasi;;0;
Réassurance Des Caisses Locales;E:/inetpub/wwwroot/web/intranet/appli/Reass;;0;
Référentiel des Requêtes Focus et Spufi;E:/inetpub/wwwroot/web/intranet/appli/FocusProd;Focp;0;
Réservation Imprimés Fournitures;E:/inetpub/wwwroot/web/intranet/appli/ResImprimes;Rsim Rsig Rsip Rsic;0;
Réservation Ressources (Véhicules, Audios);E:/inetpub/wwwroot/web/intranet/appli/reservation_ressources;Rere,Repa,Remr,Rerr;0;
Résiliations Concurrences;E:/inetpub/wwwroot/web/intranet/appli/Resiliation;Resl,Resa;0;
Salles de réunions - Statistiques;E:/inetpub/wwwroot/web/intranet/appli/paquetage;;0;
Situation d'Assurance;E:/inetpub/wwwroot/web/intranet/appli/situation_assurance;sass,Sasp,Sasg;0;
Sociétaires CUMA;E:/inetpub/wwwroot/web/intranet/appli/CUMA;Cuma;0;
Spécificités Garanties DEC;E:/inetpub/wwwroot/web/intranet/appli/DEC_SpecifsGie;Dgie;0;
Statistiques Accès Intranet;E:/inetpub/wwwroot/web/intranet/appli/StatsIntranet;Stta;0;
Statistiques sinistres entreprises;E:/inetpub/wwwroot/web/intranet/appli/StatSinistreEp;Stse;0;
Suivi Activ. VIE prestation;E:/inetpub/wwwroot/web/intranet/appli/Suivi_Vie;Svso,Svpr;0;
Suivi Assolement MRC;E:/inetpub/wwwroot/web/intranet/appli/GreleClimat2;Arg2,Arg3;0;
Suivi Budgétaire;E:/inetpub/wwwroot/web/intranet/appli/suivibudgetaire;Svtb,Svgb,Svpb;0;
Suivi Conformité Banque;E:/inetpub/wwwroot/web/intranet/appli/Conformite_Banque;Ncb0;0;
Suivi de la Prévention;E:/inetpub/wwwroot/web/intranet/appli/SuiviPrevention;Pre1,Pre2;0;
Suivi de pilotage et performance CRC 2021;E:/inetpub/wwwroot/web/intranet/appli/SRC_GPlus_2021;Srcg;0;
Suivi des Dossiers Graves;E:/inetpub/wwwroot/web/intranet/appli/Sinistres_Importants;simp,simf,sima;0;
Suivi des dérogations;E:/inetpub/wwwroot/web/intranet/appli/Suivi_Derogations;;0;
Suivi des installations techniques;E:/inetpub/wwwroot/web/intranet/appli/Suivi_Installations;;0;
Suivi des mouvements OAV;E:/inetpub/wwwroot/web/intranet/appli/SuiviMvtOAV;Ssmo,Ssma;0;
Suivi des rejets encaissements;E:/inetpub/wwwroot/web/intranet/appli/CT_Rejet_Encaissement;;0;
Suivi des retours CPs signées;E:/inetpub/wwwroot/web/intranet/appli/CP_Signees;;0;
Suivi des Résultats Commerciaux;E:/inetpub/wwwroot/web/intranet/appli/SRC;Src1,Src3,Acre,Srcd,ssas;0;
Suivi des résultats des analystes Production;E:/inetpub/wwwroot/web/intranet/appli/ResultatsAnalystesProduction;ranp;0;
Suivi Qualité des données GRC;E:/inetpub/wwwroot/web/intranet/appli/Qualdon;src1,gqu1,gqua;0;
Sélection et Calcul Avantages commerciaux;E:/inetpub/wwwroot/web/intranet/appli/OutilSelectionCalculAvantages;;0;
Tableaux de Bord Compta;E:/inetpub/wwwroot/web/intranet/appli/TdBCompta;;0;
Tableaux de Bord Production;E:/inetpub/wwwroot/web/intranet/appli/TdbProd;Tbpa,Tdbp;0;
Tracker;E:/inetpub/wwwroot/web/intranet/appli/_Divers_Suivis/MaJ_Bases;VI0B,Trk3,Trk2,Trak;0;
Traduction GUP Sigma et Identifiants Maine-Soft;E:/inetpub/wwwroot/web/intranet/appli/IBIS;;0;
Traitements d'automatisation TFA;E:/inetpub/wwwroot/web/intranet/appli/TFA;;0;
Visualisation des Tables DWH;E:/inetpub/wwwroot/web/intranet/appli/visudwh;Vdwh;0;
Visualisation des Tables Intranet;E:/inetpub/wwwroot/web/intranet/appli/visuTableIntranet;Vtab;0;
WFM Equité;E:/inetpub/wwwroot/web/intranet/appli/WFMEquite;Wfmq;0;
Winflotte;E:/inetpub/wwwroot/web/intranet/appli/Winflotte;;0;
DOSI Exploitation;ouioui/ouioui,com;Quoi,couB;1;
DOSI commun;ouioui/ouioui/nonon/ouioui,com;Apag,Nann;0;
